district_wise
SlNo,State_Code,State,District_Key,District,Status,Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,,,
0,AP,Andhra Pradesh,AP_Other State,Other State,,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,,,
42,AS,Assam,AS_Baksa,Baksa,,,
43,AS,Assam,AS_Barpeta,Barpeta,,,
44,AS,Assam,AS_Biswanath,Biswanath,,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,,,
46,AS,Assam,AS_Cachar,Cachar,,,
47,AS,Assam,AS_Charaideo,Charaideo,,,
48,AS,Assam,AS_Chirang,Chirang,,,
49,AS,Assam,AS_Darrang,Darrang,,,
50,AS,Assam,AS_Dhemaji,Dhemaji,,,
51,AS,Assam,AS_Dhubri,Dhubri,,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,,,
54,AS,Assam,AS_Goalpara,Goalpara,,,
55,AS,Assam,AS_Golaghat,Golaghat,,,
56,AS,Assam,AS_Hailakandi,Hailakandi,,,
57,AS,Assam,AS_Hojai,Hojai,,,
58,AS,Assam,AS_Jorhat,Jorhat,,,
59,AS,Assam,AS_Kamrup,Kamrup,,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,,,
62,AS,Assam,AS_Karimganj,Karimganj,,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,,,
65,AS,Assam,AS_Majuli,Majuli,,,
66,AS,Assam,AS_Morigaon,Morigaon,,,
67,AS,Assam,AS_Nagaon,Nagaon,,,
68,AS,Assam,AS_Nalbari,Nalbari,,,
0,AS,Assam,AS_Other State,Other State,,,
69,AS,Assam,AS_Sivasagar,Sivasagar,,,
70,AS,Assam,AS_Sonitpur,Sonitpur,,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,,,
72,AS,Assam,AS_Tinsukia,Tinsukia,,,
73,AS,Assam,AS_Udalguri,Udalguri,,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,,,
75,BR,Bihar,BR_Araria,Araria,,,
76,BR,Bihar,BR_Arwal,Arwal,,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,,,
